Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20020917X02304,Accident,LAX82FUM06,1982-01-05,"RAMONA, CA",United States,Unknown,Unknown,L39,RAMONA,Fatal(3),Destroyed,Airplane,N4520K,Navion,A,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Business,Unknown,3.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,05-01-1983
20020917X02253,Accident,LAX82FA036,1982-01-05,"BLACK CANYON CI, AZ",United States,Unknown,Unknown,Unknown,Unknown,Fatal(1),Destroyed,Airplane,N4696Z,Piper,PA-22,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,05-01-1983
20020917X01906,Accident,DCA82AA009,1982-01-05,"ITHACA, NY",United States,Unknown,Unknown,Unknown,TOMPKINS COUNTY,Fatal(2),Destroyed,Airplane,N546BA,Piper,PA-31,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,Empire Airlines,2.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,05-01-1983
20020917X01764,Incident,ATL82IA029,1982-01-05,"PENSACOLA, FL",United States,Unknown,Unknown,Unknown,Unknown,Incident,Minor,Airplane,N5782N,Rockwell,114,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Business,Unknown,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,05-01-1983
20020917X01993,Accident,FTW82DA037,1982-01-05,"LONOKE, AR",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N5304P,Piper,PA-24-250,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Business,Unknown,0.0,1.0,0.0,1.0,VMC,Descent,Probable Cause,05-01-1983
20020917X01658,Accident,ATL82DA028,1982-01-05,"GASTONIA, NC",United States,Unknown,Unknown,0A6,Unknown,Non-Fatal,Substantial,Airplane,N2139T,Piper,PA-28R-200,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Ferry,Unknown,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,05-01-1983
20020917X02156,Accident,LAX82DA037,1982-01-05,"SPRINGERVILLE, AZ",United States,Unknown,Unknown,Q35,SPRINGERVILLE,Non-Fatal,Substantial,Airplane,N738XP,Cessna,TR182,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Joel Frederick's Monarch Air,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,05-01-1983
20020917X01651,Accident,ANC82FA012,1982-01-05,"BETHEL, AK",United States,Unknown,Unknown,BET,BETHEL,Non-Fatal,Substantial,Airplane,N3343S,Cessna,A185F,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Executive Charter Service,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,05-01-1983
20020917X02423,Accident,MKC82DA016,1982-01-06,"ROLLA, MO",United States,Unknown,Unknown,K07,DOWNTOWN,Non-Fatal,Substantial,Airplane,N2672A,Cessna,340,Yes,2.0,Reciprocating,Part 91: General Aviation,Unknown,Executive/corporate,Unknown,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,06-01-1983
20020917X01913,Accident,DEN82DA015,1982-01-06,"JACKSON, WY",United States,Unknown,Unknown,Unknown,JACKSON HOLE,Non-Fatal,Substantial,Airplane,N8070Q,Beech,35,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,06-01-1983
20020917X01777,Accident,CHI82DA021,1982-01-06,"PAXTON, IL",United States,Unknown,Unknown,1C1,PAXTON MUNICIPAL,Non-Fatal,Substantial,Airplane,N4900L,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Instructional,Unknown,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,06-01-1983
20020917X01757,Accident,ATL82FLG08,1982-01-06,"HILTON HEAD, SC",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N201NH,Mooney,M-20J,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Business,Unknown,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,06-01-1983
20020917X02242,Accident,LAX82DVA10,1982-01-06,"NEAR BAKERSFIEL, CA",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N59737,Boeing,A75,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Unknown,Unknown,0.0,1.0,0.0,1.0,IMC,Cruise,Probable Cause,06-01-1983
20020917X01964,Accident,DEN82FA016,1982-01-07,"HELENA, MT",United States,Unknown,Unknown,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N9763X,Cessna,210,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Robert R. Hylton,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,07-01-1983
20020917X01659,Accident,ATL82DA031,1982-01-07,"WESTMINISTER, MD",United States,Unknown,Unknown,2W2,CLEARVIEW,Non-Fatal,Substantial,Airplane,N117P,Beech,V35,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,07-01-1983
20020917X02141,Accident,FTW82FRG20,1982-01-07,"LAREDO, TX",United States,Unknown,Unknown,LRD,LAREDO INTL,Non-Fatal,Substantial,Airplane,N1698M,Curtis,C46,No,2.0,Reciprocating,"Part 125: 20+ Pax,6000+ lbs",NSCH,Unknown,Unknown,0.0,0.0,0.0,3.0,VMC,Standing,Probable Cause,07-01-1983
20020917X02414,Accident,MIA82FLD14,1982-01-08,"ODESSA, FL",United States,Unknown,Unknown,X41,W. PASCO,Fatal(1),Destroyed,Airplane,N80264,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,08-01-1983
20020917X01881,Accident,CHI82FA024,1982-01-08,"NEW PHILADELPHI, OH",United States,Unknown,Unknown,PHO,HARRY CLEVER FIELD,Fatal(1),Destroyed,Airplane,N207CB,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,1.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,08-01-1983
20020917X02574,Accident,SEA82DA016,1982-01-08,"PULLMAN, WA",United States,Unknown,Unknown,PUW,PULLMAN-MOSCOW REGIONAL,Non-Fatal,Substantial,Airplane,N6106U,Cessna,TU206G,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Business,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-01-1983
20020917X02484,Accident,NYC82DA019,1982-01-08,"CUTCHOGUE, NY",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N46681,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Instructional,Unknown,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,08-01-1983
20020917X02431,Accident,MKC82DA026,1982-01-08,"LIBERTY, MO",United States,Unknown,Unknown,Unknown,MITHELL,Non-Fatal,Substantial,Airplane,N7618P,Piper,PA-24-250,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Instructional,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,08-01-1983
20020917X01779,Accident,CHI82DA023,1982-01-08,"PEORIA, IL",United States,Unknown,Unknown,3MY,MOUNT HAWLEY,Non-Fatal,Substantial,Airplane,N6265P,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Instructional,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,08-01-1983
20020917X01778,Accident,CHI82DA022,1982-01-08,"SANDUSKY, OH",United States,Unknown,Unknown,SKY,GRIFFING-SANDUSKY,Non-Fatal,Substantial,Airplane,N737LH,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,08-01-1983
20020917X01717,Accident,ATL82DLG09,1982-01-08,"GRANTITEVILLE, SC",United States,Unknown,Unknown,SC42,TWIN LAKES,Non-Fatal,Substantial,Airplane,N25225,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Instructional,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-01-1983
